,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,0.901,0.001,0.017,0.009,0.003,0.001,0.063,0.0,0.005,0.0
Trouser,0.0,0.989,0.001,0.006,0.001,0.0,0.002,0.0,0.001,0.0
Pullover,0.021,0.001,0.919,0.008,0.025,0.0,0.026,0.0,0.0,0.0
Dress,0.005,0.001,0.006,0.963,0.007,0.001,0.016,0.0,0.0,0.001
Coat,0.001,0.0,0.031,0.012,0.917,0.0,0.039,0.0,0.0,0.0
Sandal,0.0,0.0,0.0,0.0,0.0,0.992,0.0,0.006,0.0,0.002
Shirt,0.087,0.0,0.04,0.029,0.042,0.0,0.799,0.0,0.003,0.0
Sneaker,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.988,0.0,0.01
Bag,0.001,0.001,0.0,0.0,0.0,0.001,0.003,0.0,0.994,0.0
Ankle boot,0.0,0.0,0.0,0.0,0.0,0.006,0.001,0.032,0.0,0.961
