,Tshirts,Shirts,Kurtas,Tops,Briefs,Jeans,Trousers,Shorts,Bra,Dresses,Sarees,Track Pants,Sweaters,Sweatshirts,Jackets
Tshirts,501,6,0,17,0,0,0,0,0,1,0,0,0,2,1
Shirts,10,222,0,4,0,0,0,1,0,0,0,0,1,2,0
Kurtas,1,4,132,1,0,0,0,0,0,1,0,0,0,0,0
Tops,32,4,3,89,0,0,0,2,0,1,0,0,0,0,1
Briefs,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0
Jeans,0,0,0,0,0,44,2,0,0,0,0,1,0,0,0
Trousers,0,0,0,0,0,5,34,1,0,0,0,1,0,0,0
Shorts,2,1,0,0,0,1,0,36,0,0,0,1,0,0,0
Bra,1,0,0,1,2,0,0,0,34,0,0,0,0,0,0
Dresses,2,0,5,2,0,0,0,0,0,24,1,0,0,0,0
Sarees,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
Track Pants,1,0,0,0,0,2,4,0,0,0,0,16,0,0,0
Sweaters,7,0,0,3,0,0,0,0,0,0,0,0,7,5,0
Sweatshirts,6,1,0,0,0,0,0,0,0,0,0,0,2,10,3
Jackets,5,1,0,2,0,0,0,0,0,0,0,0,1,3,8
