,Tshirts,Shirts,Kurtas,Tops,Briefs,Jeans,Trousers,Shorts,Bra,Dresses,Sarees,Track Pants,Sweaters,Sweatshirts,Jackets
Tshirts,0.9488636,0.011363637,0.0,0.03219697,0.0,0.0,0.0,0.0,0.0,0.0018939395,0.0,0.0,0.0,0.003787879,0.0018939395
Shirts,0.041666668,0.925,0.0,0.016666668,0.0,0.0,0.0,0.004166667,0.0,0.0,0.0,0.0,0.004166667,0.008333334,0.0
Kurtas,0.007194245,0.02877698,0.9496403,0.007194245,0.0,0.0,0.0,0.0,0.0,0.007194245,0.0,0.0,0.0,0.0,0.0
Tops,0.24242425,0.030303031,0.022727273,0.67424244,0.0,0.0,0.0,0.015151516,0.0,0.007575758,0.0,0.0,0.0,0.0,0.007575758
Briefs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeans,0.0,0.0,0.0,0.0,0.0,0.9361702,0.04255319,0.0,0.0,0.0,0.0,0.021276595,0.0,0.0,0.0
Trousers,0.0,0.0,0.0,0.0,0.0,0.12195122,0.8292683,0.024390243,0.0,0.0,0.0,0.024390243,0.0,0.0,0.0
Shorts,0.048780486,0.024390243,0.0,0.0,0.0,0.024390243,0.0,0.8780488,0.0,0.0,0.0,0.024390243,0.0,0.0,0.0
Bra,0.02631579,0.0,0.0,0.02631579,0.05263158,0.0,0.0,0.0,0.8947368,0.0,0.0,0.0,0.0,0.0,0.0
Dresses,0.05882353,0.0,0.14705883,0.05882353,0.0,0.0,0.0,0.0,0.0,0.7058824,0.029411765,0.0,0.0,0.0,0.0
Sarees,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Track Pants,0.04347826,0.0,0.0,0.0,0.0,0.08695652,0.17391305,0.0,0.0,0.0,0.0,0.6956522,0.0,0.0,0.0
Sweaters,0.3181818,0.0,0.0,0.13636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3181818,0.22727273,0.0
Sweatshirts,0.27272728,0.045454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909,0.45454547,0.13636364
Jackets,0.25,0.05,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.15,0.4
