step,loss,reconstruction,kl,beta
1,2056.882568359375,2056.81982421875,12.537249565124512,0.005
51,798.0150146484375,764.0943603515625,133.02207946777344,0.255
101,716.064453125,673.57568359375,84.13619995117188,0.505
151,736.7225341796875,693.9791259765625,56.61378860473633,0.755
201,753.5745239257812,709.4534912109375,44.121009826660156,1.0
251,742.0119018554688,695.54736328125,46.46454620361328,1.0
301,699.278564453125,652.26953125,47.00904846191406,1.0
351,713.5031127929688,672.2626953125,41.24040222167969,1.0
401,703.3555908203125,660.7850341796875,42.570533752441406,1.0
451,684.4937744140625,644.1115112304688,40.382293701171875,1.0
501,706.2096557617188,665.9507446289062,40.258934020996094,1.0
551,683.3344116210938,643.9965209960938,39.3378791809082,1.0
601,688.2588500976562,649.2146606445312,39.04417419433594,1.0
651,708.129638671875,670.260009765625,37.869606018066406,1.0
701,696.0078735351562,655.885009765625,40.12287521362305,1.0
751,653.2413330078125,615.042236328125,38.199092864990234,1.0
801,693.3635864257812,657.39990234375,35.96369934082031,1.0
851,673.37109375,635.62646484375,37.74462127685547,1.0
901,688.3014526367188,651.8037719726562,36.497657775878906,1.0
951,681.358642578125,648.0423583984375,33.316314697265625,1.0
1001,690.476806640625,654.2830810546875,36.19371795654297,1.0
1051,678.26220703125,645.1077880859375,33.1544075012207,1.0
1101,696.0571899414062,659.460693359375,36.596473693847656,1.0
1151,703.5189819335938,667.796875,35.722129821777344,1.0
1201,681.5864868164062,647.7605590820312,33.825923919677734,1.0
1251,689.57421875,654.2943115234375,35.2799072265625,1.0
1301,658.6321411132812,625.8035888671875,32.82854080200195,1.0
1351,685.2313232421875,650.486083984375,34.745269775390625,1.0
1401,684.2749633789062,648.5191040039062,35.75585174560547,1.0
1451,678.2907104492188,643.490478515625,34.80022048950195,1.0
1501,679.4171142578125,645.543701171875,33.87342071533203,1.0
1551,681.6719360351562,647.6177368164062,34.05419158935547,1.0
1601,686.46728515625,652.48046875,33.98681640625,1.0
1651,663.2337036132812,630.714111328125,32.519615173339844,1.0
1701,653.41845703125,620.505615234375,32.91286087036133,1.0
1751,670.5634155273438,638.7589111328125,31.804533004760742,1.0
1801,667.5421142578125,634.08056640625,33.461570739746094,1.0
1851,698.4741821289062,664.6784057617188,33.795780181884766,1.0
1901,679.06494140625,645.7548828125,33.31004333496094,1.0
1951,655.2128295898438,623.078125,32.134727478027344,1.0
2001,665.2314453125,632.5018310546875,32.729591369628906,1.0
2051,684.3946533203125,651.4996337890625,32.89503479003906,1.0
2101,678.865478515625,647.4840698242188,31.381431579589844,1.0
2151,664.396484375,631.8165893554688,32.579864501953125,1.0
2201,671.733154296875,637.893310546875,33.83981704711914,1.0
2251,655.1781616210938,624.06640625,31.111764907836914,1.0
2301,666.8449096679688,635.0814208984375,31.763469696044922,1.0
2351,662.2703857421875,630.2346801757812,32.03570556640625,1.0
2401,659.4615478515625,627.9881591796875,31.473363876342773,1.0
2451,668.8419189453125,636.54736328125,32.29454803466797,1.0
2501,659.3062744140625,627.80517578125,31.501089096069336,1.0
2551,665.1573486328125,633.91064453125,31.2467098236084,1.0
2601,668.5537719726562,636.2092895507812,32.344459533691406,1.0
2651,650.1785888671875,617.725341796875,32.453216552734375,1.0
2701,649.9742431640625,619.2266845703125,30.74753761291504,1.0
2751,674.6347045898438,643.8056640625,30.829038619995117,1.0
2801,666.9176635742188,635.4742431640625,31.443429946899414,1.0
2851,650.5291748046875,619.76025390625,30.768890380859375,1.0
2901,676.910400390625,645.4364624023438,31.47394561767578,1.0
2951,662.1949462890625,630.9871826171875,31.207759857177734,1.0
3000,666.4339599609375,634.7694091796875,31.66452407836914,1.0
