class,real,vae,ddpm,ldm
Tshirts,0.39915671117357693,0.3718,0.3876,0.37
Shirts,0.1679550245959241,0.1596,0.207,0.1428
Kurtas,0.09838369641602249,0.0828,0.0774,0.1344
Tops,0.08362614195361912,0.2414,0.1092,0.1384
Briefs,0.04567814476458187,0.0056,0.0566,0.0266
Jeans,0.03724525650035137,0.0028,0.0196,0.029
Trousers,0.027406886858749122,0.0056,0.0272,0.03
Shorts,0.028109627547434995,0.0052,0.021,0.0112
Bra,0.023893183415319746,0.0086,0.0152,0.009
Dresses,0.018973998594518624,0.0156,0.0214,0.0064
Sarees,0.023893183415319746,0.0124,0.013,0.0188
Track Pants,0.013352073085031623,0.003,0.0158,0.0092
Sweaters,0.007730147575544624,0.0564,0.0098,0.0656
Sweatshirts,0.015460295151089248,0.0182,0.0076,0.003
Jackets,0.009135628952916374,0.011,0.0116,0.0056
