seed,test_loss,test_accuracy,training_seconds,peak_gpu_memory_mb,trainable_parameters
0,0.23698866577148436,0.9176,31.15561190000153,915.3779296875,157098
1,0.24094185180664063,0.9146,29.84694490000038,915.3779296875,157098
2,0.24596915588378906,0.9117,30.25512929999968,915.3779296875,157098
3,0.2492549285888672,0.9107,30.086606100001518,915.3779296875,157098
4,0.24048990631103515,0.916,28.785438499999145,915.3779296875,157098
5,0.24592588195800782,0.9129,30.163853300000483,915.3779296875,157098
6,0.24273304138183593,0.9134,29.714245200000732,915.3779296875,157098
7,0.24089190979003905,0.9135,30.24054780000006,915.3779296875,157098
8,0.2483740493774414,0.9127,29.12560830000075,915.3779296875,157098
9,0.24302005767822266,0.9142,28.69657079999888,915.3779296875,157098
