seed,model,custom_fid,custom_kid_mean,custom_kid_std,mean_classifier_confidence,median_classifier_confidence,recognizability_rate_at_0.8,class_coverage,class_distribution_entropy,inception_score,inception_score_std,feature_pairwise_distance,sobel_sharpness,nearest_neighbor_mean_distance,nearest_neighbor_median_distance,memorization_rate_below_real_1pct_threshold,training_minutes,sampling_total_seconds,sampling_ms_per_image,trainable_parameters,peak_gpu_memory_mb,final_training_loss,training_tail_cv,training_loss_slope,nonfinite_loss_count
0,VAE,37.11705155561245,1.5762177944183349,0.0872127595094463,0.717120349407196,0.7340298891067505,0.4222,10,0.9597319045267092,4.236060619354248,0.1043150292253048,10.309739112854004,0.5396980047225952,2.12766170501709,2.1281638145446777,0.0,0.4255413700000038,0.0414684000024863,0.0082936800004972,1700865,558.15380859375,236.2895959309896,0.0004684774786098,-1.515865816537718,0
0,DDPM,12.898909954895316,0.565768814086914,0.1257447834961835,0.8584882616996765,0.9601399898529052,0.7138,10,0.9579327972638904,6.233238267898559,0.2080777784736087,14.35801601409912,0.6064438819885254,1.5849665403366089,1.438110589981079,0.0,4.84890053333329,41.00746679999793,8.201493359999587,5216833,6274.93408203125,0.0703799994341258,0.0034111543274843,-0.0017777895070213,0
1,VAE,47.513019426744506,1.9778505086898803,0.0952563556862348,0.702627956867218,0.721345067024231,0.4112,10,0.9312346212840684,3.866130781173706,0.0804470711107994,9.32789421081543,0.5506861805915833,2.364202976226806,2.308423519134521,0.0078125,0.4238234133333511,0.0344432999991113,0.0068886599998222,1700865,558.15380859375,236.33343025716147,0.0004874947639387,-1.523472689146382,0
1,DDPM,8.208724460188137,0.3602756500244141,0.0574761524531812,0.8429164290428162,0.943484902381897,0.6784,10,0.9860269435875838,6.37583909034729,0.1036391488012878,13.898831367492676,0.6706401705741882,1.7199952602386477,1.6917425394058228,0.03125,4.85458799333331,40.65140640000027,8.130281280000053,5216833,6274.93408203125,0.0704561064726319,0.0036592721046158,-0.0017585693972359,0
2,VAE,39.89746372250872,1.7070022821426392,0.0852244966961723,0.7230195999145508,0.7479053139686584,0.4426,10,0.9526938943831298,4.2444586753845215,0.1598312799998684,10.280696868896484,0.547234058380127,1.9985206127166748,1.965792417526245,0.0,0.4224430399999619,0.0391568999984883,0.0078313799996976,1700865,558.15380859375,236.38718998209637,0.0004512742383938,-1.712161035606973,0
2,DDPM,8.567881640608618,0.3828474998474121,0.0648684888666066,0.8435583710670471,0.9437717795372008,0.6704,10,0.9817296377051864,6.321343421936035,0.0877454283740758,14.783692359924316,0.6616959571838379,1.4513732194900513,1.365898609161377,0.0,4.905757705000057,42.01455499999793,8.402910999999586,5216833,6274.93408203125,0.0694529063485819,0.0079248997945795,-0.0017188484350227,0
3,VAE,44.394172624223245,1.7921274185180665,0.10444933153699,0.7139813303947449,0.7399678230285645,0.4332,10,0.9537652283049932,4.129417490959168,0.0689964371744685,10.120682716369627,0.5520360469818115,1.9291449785232544,1.904780626296997,0.0078125,0.4242775949999971,0.0381734000002325,0.0076346800000465,1700865,558.15380859375,236.43246423339843,0.0005058137120499,-1.6124346297263146,0
3,DDPM,6.067112821018839,0.3024936199188232,0.0736829561213485,0.8324933648109436,0.9304544925689696,0.6546,10,0.9917868148562397,6.3032361507415775,0.1276928854126063,14.3384428024292,0.6949537992477417,1.4737632274627686,1.403658151626587,0.0078125,4.836776024999987,40.41371829999844,8.082743659999688,5216833,6274.93408203125,0.0705101220258351,0.0055388005949118,-0.0017939746568041,0
4,VAE,39.24509873541706,1.519632649421692,0.0990259076130443,0.7306039929389954,0.7578734755516052,0.4544,10,0.930582989758124,4.1684633731842045,0.1285015553906236,10.068397521972656,0.5407307147979736,2.3589344024658203,2.249455213546753,0.0,0.3789348166666362,0.0379629999988537,0.0075925999997707,1700865,558.15380859375,236.52809792480468,0.0005182088768015,-1.4172162093099003,0
4,DDPM,7.017946594018554,0.2880506992340088,0.0418593977641177,0.8198243379592896,0.9205317497253418,0.6336,10,0.9922214963568812,6.064479541778565,0.1191970270210272,13.846650123596191,0.6841232776641846,1.8399455547332764,1.7976776361465454,0.0234375,4.762684411666669,40.55277480000223,8.110554960000444,5216833,6274.93408203125,0.0703861678725686,0.005047068690053,-0.0016719279501514,0
