class_index,class_name,real_test_distribution_mean,real_test_distribution_std,vae_distribution_mean,vae_distribution_std,ddpm_distribution_mean,ddpm_distribution_std
0,T-shirt/top,0.10092000000000001,0.003517827612477777,0.15233999999999998,0.02923894662945298,0.07942,0.010350501866522649
1,Trouser,0.09928000000000001,0.003456652201834086,0.08070000000000001,0.008827859939481996,0.10425999999999999,0.012279359375255159
2,Pullover,0.10002,0.0037421918710830453,0.1776,0.02510121732329153,0.10194,0.03141210665403459
3,Dress,0.10002,0.0031741315522692388,0.09658,0.014464807868294226,0.13786,0.014518050068028341
4,Coat,0.10164,0.003326392774296038,0.051239999999999994,0.013324930685665039,0.08738,0.018231218646413447
5,Sandal,0.0973,0.0017416467303484134,0.01556,0.003742607528329829,0.15304,0.06970093575013499
6,Shirt,0.09803999999999999,0.004522339610816017,0.0779,0.02145822815508204,0.09094,0.011683625769045799
7,Sneaker,0.10346,0.0025491610820468427,0.08302000000000001,0.014243735465108865,0.11986,0.014561150748176158
8,Bag,0.10094,0.00252815259736345,0.13988,0.016856044085793755,0.06604,0.01861344794616098
9,Ankle boot,0.09838,0.0027283694764455887,0.12518,0.016636091955611325,0.05926,0.011595420552001455
