generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
80,1848,0.7360509,False
124,4028,0.78840476,False
45,3761,0.8014931,False
114,4358,0.8148254,False
97,7833,0.8429856,False
127,4256,0.87441564,False
59,8216,0.92333454,False
94,3662,0.96615154,False
79,6980,1.0314053,False
44,1339,1.0923933,False
70,3308,1.0946555,False
93,9805,1.1071169,False
52,717,1.1141341,False
11,4266,1.121723,False
104,8214,1.1406752,False
26,475,1.1552136,False
99,2978,1.1604422,False
63,4046,1.4227507,False
74,6351,1.4463415,False
35,1807,1.4487219,False
106,5044,1.4643085,False
6,5643,1.4782254,False
117,587,1.5001221,False
12,7059,1.5448145,False
91,7483,1.5467547,False
82,98,1.5665097,False
108,5646,1.575465,False
83,8286,1.577153,False
111,6216,1.587875,False
36,4137,1.5991132,False
102,1803,1.6319022,False
73,5699,1.6563352,False
121,8858,1.6575565,False
49,9304,1.6946284,False
46,1130,1.7038114,False
78,7483,1.7135669,False
98,1173,1.7151418,False
5,6916,1.7230709,False
103,1456,1.7264742,False
90,4552,1.7529371,False
3,7519,1.7722002,False
116,7163,1.7812393,False
47,7051,1.7905853,False
33,9686,1.7968384,False
22,1339,1.7981902,False
87,3041,1.8106985,False
56,6270,1.8196722,False
2,3356,1.8534179,False
19,1339,1.8553187,False
109,3735,1.8682587,False
48,599,1.8895947,False
0,269,1.938409,False
115,2778,1.9401542,False
14,3343,1.9414701,False
100,6563,1.9510609,False
68,1526,2.0093405,False
50,3308,2.0276353,False
75,269,2.0425682,False
41,1300,2.0488458,False
101,742,2.0835102,False
119,8470,2.0907397,False
88,8262,2.1129708,False
113,5767,2.115425,False
71,3645,2.123271,False
55,706,2.1330566,False
89,6133,2.1354213,False
15,135,2.1506052,False
64,8367,2.1661997,False
60,8678,2.176924,False
39,7574,2.184826,False
40,3918,2.203202,False
107,3689,2.213575,False
85,8742,2.2146647,False
53,9686,2.2206378,False
10,8268,2.223847,False
9,9151,2.2246234,False
28,1130,2.251202,False
122,7919,2.2656112,False
34,4279,2.2939758,False
96,5225,2.309606,False
86,6919,2.3159933,False
23,4870,2.3192744,False
95,178,2.3234165,False
30,1957,2.3297327,False
66,8790,2.3363278,False
62,482,2.3777483,False
69,3379,2.4097953,False
38,2811,2.425331,False
126,7571,2.4922793,False
77,5603,2.503318,False
20,3345,2.5062916,False
16,9686,2.5103288,False
65,1526,2.5116072,False
7,3159,2.5331035,False
42,404,2.554902,False
31,963,2.5571113,False
32,8589,2.562471,False
105,7389,2.5662427,False
18,3711,2.573537,False
118,7389,2.5761623,False
120,1130,2.57675,False
37,404,2.580083,False
67,6133,2.617729,False
81,178,2.6742203,False
21,1142,2.6848571,False
13,6153,2.6967173,False
125,2055,2.6990163,False
43,1339,2.7387414,False
29,9257,2.7947464,False
27,1339,2.8048744,False
57,404,2.8926485,False
123,9048,2.9413111,False
54,5662,2.977587,False
112,1130,3.0748255,False
84,3308,3.114979,False
1,2607,3.132145,False
110,6166,3.1606596,False
25,404,3.182572,False
51,713,3.259562,False
17,5198,3.264984,False
24,1300,3.2827678,False
58,963,3.3436131,False
8,3634,3.5845044,False
92,5662,3.685069,False
4,3711,3.7540066,False
76,3711,3.876832,False
72,4059,4.0636024,False
61,871,4.2679086,False
