generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
69,1240,0.2717863,True
19,3013,0.43085778,True
70,2665,0.47777766,True
22,940,0.5746039,False
52,338,0.648055,False
21,9941,0.6801027,False
74,3427,0.7313769,False
80,5379,0.76985836,False
4,1332,0.8200567,False
91,5712,0.83601964,False
67,2407,0.85714376,False
13,1212,0.8872005,False
14,4193,0.9386305,False
40,1183,0.9425685,False
126,2617,0.9810055,False
53,1650,1.0118017,False
77,8596,1.02004,False
30,6015,1.0393525,False
105,4784,1.0581036,False
42,2745,1.0641018,False
64,2722,1.1527475,False
89,6603,1.1595807,False
101,7783,1.1786555,False
24,6946,1.1792121,False
110,2254,1.180612,False
48,9918,1.1859779,False
93,912,1.1881135,False
32,7044,1.1987256,False
81,4639,1.2003284,False
87,3269,1.2122756,False
123,58,1.235876,False
8,4082,1.2532307,False
57,1800,1.2809582,False
7,5640,1.3336512,False
37,1740,1.3470163,False
38,7138,1.3480638,False
39,211,1.3582492,False
109,2971,1.3646153,False
63,3876,1.3686877,False
62,4117,1.4086,False
29,5988,1.4306451,False
18,8002,1.4355575,False
5,6735,1.439261,False
98,4028,1.4407816,False
31,6620,1.4414856,False
71,6744,1.4583973,False
119,2520,1.4715083,False
59,7797,1.5022922,False
36,5170,1.5039823,False
25,1124,1.509945,False
115,2619,1.5110095,False
102,3454,1.5407174,False
54,335,1.550796,False
0,6911,1.5662407,False
11,1378,1.5739473,False
43,6157,1.6020709,False
113,2085,1.6606203,False
60,6119,1.6779015,False
17,7125,1.6802903,False
121,809,1.6808318,False
124,8077,1.7129519,False
79,6690,1.7383525,False
117,3709,1.7751403,False
116,6113,1.7968081,False
94,58,1.7985471,False
41,3266,1.8032401,False
122,6987,1.8087056,False
47,4007,1.8179828,False
127,8226,1.8315601,False
72,6054,1.8431975,False
108,6452,1.8450023,False
84,1061,1.8496816,False
120,7812,1.8554945,False
20,6239,1.8726344,False
2,3368,1.9141502,False
114,2886,1.9216199,False
23,61,1.9280738,False
111,7018,1.9604317,False
55,6113,1.9723831,False
56,9419,1.9965878,False
46,3669,2.0025933,False
28,7752,2.0117528,False
44,3707,2.0124867,False
26,652,2.0148754,False
85,7192,2.03846,False
9,1409,2.0452156,False
65,2433,2.067414,False
100,6745,2.0789962,False
103,521,2.1421356,False
82,7702,2.1432278,False
10,4055,2.1524289,False
50,8381,2.1573281,False
16,545,2.2070036,False
61,6966,2.2116482,False
97,3687,2.2120156,False
33,1673,2.224425,False
58,9737,2.2394297,False
92,1918,2.2947514,False
107,500,2.3304152,False
83,9228,2.3398192,False
68,8514,2.3764741,False
49,5056,2.4208052,False
73,8741,2.4442055,False
45,1227,2.4478314,False
78,6375,2.4712272,False
66,8947,2.5221508,False
104,4096,2.604599,False
86,7350,2.6047106,False
106,8893,2.6203718,False
1,4414,2.624141,False
12,9567,2.6448874,False
118,4433,2.6479247,False
3,8282,2.9505749,False
76,2081,2.9568248,False
90,6066,3.0784447,False
51,1021,3.0920565,False
112,9185,3.1538649,False
96,1436,3.1603525,False
125,6951,3.161636,False
95,8730,3.1838417,False
99,4056,3.1928248,False
15,1436,3.2092144,False
35,1436,3.4025395,False
75,8126,3.409132,False
27,2081,3.5787349,False
88,1436,3.657905,False
6,755,3.7044845,False
34,5216,4.3684096,False
