generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
15,9267,0.46082163,True
58,6334,0.5917808,False
104,7485,0.60955024,False
5,2317,0.6757079,False
46,7675,0.6777259,False
68,8557,0.7009515,False
127,1030,0.7052756,False
100,1185,0.75053895,False
57,4624,0.8058576,False
73,7439,0.80774647,False
92,4772,0.8170975,False
113,8671,0.81865066,False
96,7441,0.82457966,False
56,5494,0.84445953,False
99,4184,0.863829,False
17,1003,0.86615753,False
40,1195,0.8681987,False
76,1351,0.9115258,False
109,752,0.91255885,False
24,9037,0.9199654,False
36,9790,0.94214547,False
10,8932,0.951635,False
13,3327,0.9650809,False
110,2964,0.96995026,False
3,99,0.9910642,False
44,5065,0.9966642,False
7,5057,1.0290059,False
125,249,1.0431424,False
80,9544,1.043795,False
50,2402,1.0598434,False
79,6847,1.0790728,False
103,6113,1.0880431,False
47,4514,1.1002319,False
12,793,1.1036694,False
41,5420,1.1293725,False
53,9963,1.1310736,False
77,2086,1.1422375,False
6,9271,1.1592089,False
60,4903,1.1764721,False
63,5138,1.1771204,False
114,7561,1.1902403,False
126,841,1.1992029,False
116,4251,1.2038984,False
39,4072,1.2159486,False
30,5076,1.2290356,False
84,714,1.235311,False
101,9590,1.2368587,False
2,2016,1.247076,False
62,6156,1.2671944,False
0,3186,1.2695403,False
85,5519,1.2721248,False
97,9671,1.2769436,False
102,3936,1.2839327,False
8,2621,1.3067793,False
54,1141,1.3242995,False
93,5038,1.3548832,False
51,8754,1.3556179,False
91,9299,1.3628223,False
33,4204,1.36933,False
120,7822,1.3797055,False
112,3043,1.3928151,False
98,1765,1.39326,False
22,7451,1.397144,False
107,259,1.400422,False
48,4376,1.4392875,False
67,9821,1.4932812,False
19,7835,1.4963537,False
118,5466,1.5007018,False
70,500,1.5600555,False
42,4479,1.565522,False
81,4126,1.5701133,False
89,8232,1.5737716,False
52,9492,1.5783402,False
16,7869,1.5784078,False
9,2975,1.5933214,False
27,3858,1.6089518,False
26,8294,1.616652,False
11,9218,1.6195929,False
14,6440,1.6391176,False
111,9440,1.6445707,False
86,1795,1.6480834,False
23,5224,1.6860968,False
71,1299,1.692369,False
106,8111,1.711165,False
1,8933,1.7115817,False
18,9965,1.7153053,False
82,7385,1.7243451,False
124,6037,1.737076,False
55,735,1.7488923,False
83,7478,1.7727125,False
45,8565,1.7742182,False
21,5450,1.8191385,False
90,1831,1.8205199,False
121,3313,1.8441576,False
65,5314,1.8606445,False
69,814,1.8608567,False
75,8998,1.8800277,False
95,5186,1.8998616,False
64,8092,1.9166198,False
115,3741,1.9199452,False
49,1118,1.9386829,False
122,7438,1.9588286,False
43,4383,1.9962103,False
66,6422,2.008126,False
87,1253,2.0114665,False
38,7910,2.0403483,False
4,798,2.0723908,False
61,131,2.1008372,False
37,9965,2.1081052,False
72,7078,2.140044,False
35,2196,2.140942,False
74,1662,2.145742,False
119,3093,2.1539114,False
105,2236,2.1649885,False
20,8230,2.2265215,False
94,4204,2.3076823,False
59,5554,2.368035,False
117,646,2.3948102,False
34,1268,2.4352422,False
29,758,2.4681427,False
123,3436,2.492593,False
31,9185,2.5111523,False
28,9743,2.526201,False
25,5526,2.881562,False
32,2679,3.188608,False
78,5950,3.7151976,False
88,3256,3.8827732,False
108,1662,3.9017067,False
