generated_index,nearest_reference_index,feature_distance,below_1pct_real_baseline_threshold
76,4885,0.8352482,False
98,9244,0.8498585,False
34,9168,0.8562087,False
127,898,0.9397109,False
91,7898,0.9437091,False
2,3637,1.007714,False
69,4202,1.1133772,False
11,697,1.1159029,False
62,1003,1.1594392,False
50,9136,1.165562,False
104,7587,1.2167217,False
97,7805,1.23846,False
23,5261,1.2569084,False
28,5929,1.3746449,False
7,920,1.3923028,False
63,4800,1.3932093,False
43,1757,1.3980713,False
87,2304,1.4390701,False
121,2218,1.4454867,False
105,5906,1.4960657,False
9,5709,1.5121703,False
99,5899,1.5271727,False
41,2007,1.5510297,False
102,6387,1.5531225,False
79,7071,1.5988616,False
106,3217,1.6106675,False
94,8042,1.6172237,False
14,187,1.625162,False
111,8042,1.6285634,False
86,8440,1.6394504,False
42,3828,1.6462075,False
39,7480,1.664998,False
59,8453,1.6712954,False
29,2568,1.7192605,False
10,7282,1.7217237,False
100,2817,1.7448748,False
1,339,1.7928443,False
70,9641,1.8300489,False
24,2828,1.8461795,False
71,8000,1.8606402,False
85,1757,1.8753357,False
18,1366,1.8915983,False
88,7332,1.8973049,False
6,29,1.9094862,False
120,673,1.9199973,False
78,8841,1.9213797,False
61,6970,1.923953,False
95,4101,1.9370806,False
66,2860,1.9543766,False
13,2774,1.957193,False
122,8068,1.963595,False
118,8901,1.9734412,False
51,1273,1.9788752,False
81,5348,1.9826701,False
67,6281,1.9997873,False
4,9683,2.0344803,False
96,7618,2.0401754,False
93,6393,2.0530903,False
54,7033,2.056829,False
125,764,2.0628293,False
35,1496,2.063004,False
52,604,2.090957,False
108,7709,2.095693,False
22,814,2.1031215,False
101,5530,2.1032608,False
19,4571,2.107117,False
83,3397,2.1142657,False
92,7033,2.1308827,False
112,9289,2.139089,False
8,6995,2.1527433,False
80,4433,2.1634023,False
65,4675,2.1714656,False
74,157,2.234964,False
57,8000,2.2623675,False
89,3273,2.2665668,False
77,8042,2.3187854,False
124,4079,2.3249867,False
110,7342,2.3477464,False
47,7805,2.3487544,False
12,814,2.3517394,False
56,8563,2.3648722,False
109,9047,2.3710227,False
49,9047,2.3785393,False
44,814,2.3826303,False
72,2404,2.3967812,False
90,3397,2.3969371,False
82,587,2.4015243,False
36,7833,2.408622,False
113,3318,2.421645,False
30,7033,2.4304838,False
117,4669,2.470294,False
0,9047,2.5220459,False
17,8042,2.5338163,False
84,9047,2.5551322,False
15,7062,2.5606282,False
46,1662,2.605048,False
33,319,2.6053486,False
25,6253,2.6079535,False
21,4675,2.6530864,False
119,1662,2.7060854,False
3,4814,2.7224,False
16,1493,2.7260742,False
60,5056,2.8116868,False
58,1493,2.8534083,False
107,7062,2.8652527,False
68,2610,2.892145,False
32,9047,2.9289138,False
73,8070,2.9333792,False
37,9047,2.9519265,False
114,6492,2.9673593,False
48,1592,3.0220313,False
116,8000,3.043408,False
38,1941,3.0757189,False
45,2610,3.1489909,False
20,8000,3.1679394,False
40,1720,3.1978788,False
126,9047,3.2356615,False
5,7033,3.264912,False
53,8042,3.285773,False
75,9047,3.3271077,False
31,4512,3.3406205,False
27,9047,3.4049828,False
26,1662,3.457196,False
64,2860,3.564805,False
115,9047,3.574607,False
55,8440,3.575671,False
123,8042,3.6501653,False
103,1786,4.436199,False
